date,hour,user_id,province
2021-09-16,18:00,0001,Sukhothai
2021-09-17,06:00,0001,Phayao
2021-09-16,23:00,0001,Phrae
2021-09-16,11:00,0001,Phrae
2021-11-20,04:00,0001,Phayao
2021-11-20,05:00,0001,Chiang Rai
2021-11-20,02:00,0001,Lampang
2021-11-19,17:00,0001,Sukhothai
2021-11-19,13:00,0001,Phrae
2021-12-20,12:00,0001,Phrae
2021-12-20,16:00,0001,Lampang
2021-12-20,22:00,0001,Phrae
2021-12-25,16:00,0001,Nonthaburi
2021-12-25,08:00,0001,Bangkok
2021-12-25,22:00,0001,Phrae
2021-12-28,21:00,0001,Lampang
2021-12-29,08:00,0001,Phrae
2021-12-28,15:00,0001,Phrae
2021-01-02,11:00,0002,Pathum Thani
2021-01-02,15:00,0002,Phra Nakhon Si Ayutthaya
2021-01-02,17:00,0002,Pathum Thani
2021-04-05,17:00,0002,Phra Nakhon Si Ayutthaya
2021-04-06,20:00,0002,Pathum Thani
2021-04-06,14:00,0002,Ang Thong
2021-04-05,23:00,0002,Nonthaburi
2021-04-06,06:00,0002,Phra Nakhon Si Ayutthaya
2021-04-05,10:00,0002,Pathum Thani
2021-09-15,09:00,0002,Pathum Thani
2021-09-15,18:00,0002,Nonthaburi
2021-09-16,06:00,0002,Pathum Thani
2021-10-19,16:00,0002,Nonthaburi
2021-10-20,00:00,0002,Pathum Thani
2021-10-19,17:00,0002,Phra Nakhon Si Ayutthaya
2021-10-19,13:00,0002,Pathum Thani
2021-11-19,09:00,0002,Pathum Thani
2021-11-19,21:00,0002,Pathum Thani
2021-11-19,12:00,0002,Nonthaburi
2021-11-19,18:00,0002,Bangkok
2021-12-30,08:00,0002,Pathum Thani
2021-12-30,17:00,0002,Pathum Thani
2021-12-30,12:00,0002,Bangkok
2021-12-30,18:00,0002,Pathum Thani
2021-12-30,13:00,0002,Bangkok
2021-12-30,11:00,0002,Pathum Thani
2021-12-30,13:00,0002,Phra Nakhon Si Ayutthaya
2021-12-30,08:00,0002,Pathum Thani
2021-12-30,15:00,0002,Pathum Thani
2022-01-01,12:00,0002,Pathum Thani
2021-12-31,20:00,0002,Pathum Thani
2022-01-01,04:00,0002,Saraburi
2022-01-02,19:00,0002,Sukhothai
2022-01-03,08:00,0002,Pathum Thani
2022-01-02,17:00,0002,Lampang
2022-01-02,11:00,0002,Chiang Mai
2021-12-31,17:00,0002,Pathum Thani
2022-01-01,11:00,0002,Pathum Thani
2022-01-01,08:00,0002,Lop Buri
2022-01-01,03:00,0002,Saraburi
2022-01-01,08:00,0002,Pathum Thani
2021-12-31,10:00,0002,Pathum Thani
2021-12-31,19:00,0002,Nonthaburi
2022-01-02,11:00,0002,Pathum Thani
2022-01-05,01:00,0002,Nakhon Pathom
2022-01-03,12:00,0002,Nonthaburi
2022-01-04,15:00,0002,Bangkok
2022-01-05,11:00,0002,Samut Prakan
2022-01-03,17:00,0002,Bangkok
2022-01-04,08:00,0002,Samut Sakhon
2022-01-03,04:00,0002,Bangkok
2022-01-03,02:00,0002,Samut Prakan
2022-01-03,23:00,0002,Bangkok
2022-01-02,18:00,0002,Bangkok
2022-01-03,22:00,0002,Pathum Thani
2022-01-05,00:00,0002,Nonthaburi
2022-01-04,17:00,0002,Pathum Thani
2022-01-06,18:00,0002,Pathum Thani
2022-01-06,21:00,0002,Nonthaburi
2022-01-07,15:00,0002,Pathum Thani
2022-01-07,23:00,0002,Phra Nakhon Si Ayutthaya
2022-01-09,00:00,0002,Nonthaburi
2022-01-08,19:00,0002,Pathum Thani
2022-01-09,13:00,0002,Bangkok
2022-01-09,07:00,0002,Nakhon Pathom
2022-01-09,15:00,0002,Pathum Thani
2022-01-09,23:00,0002,Pathum Thani
2022-01-09,17:00,0002,Nonthaburi
2021-01-03,08:00,0003,Phra Nakhon Si Ayutthaya
2021-01-02,13:00,0003,Ratchaburi
2021-01-02,23:00,0003,Suphan Buri
2021-01-04,23:00,0003,Phetchaburi
2021-01-04,13:00,0003,Samut Songkhram
2021-01-04,09:00,0003,Ratchaburi
2021-01-05,16:00,0003,Ratchaburi
2021-01-05,21:00,0003,Suphan Buri
2021-01-05,10:00,0003,Samut Sakhon
2021-01-04,10:00,0003,Samut Sakhon
2021-01-05,08:00,0003,Samut Songkhram
2021-09-16,17:00,0003,Ratchaburi
2021-09-17,08:00,0003,Sing Buri
2021-09-17,02:00,0003,Suphan Buri
2021-09-17,10:00,0003,Nakhon Sawan
2021-12-14,12:00,0003,Chachoengsao
2021-12-13,23:00,0003,Nakhon Pathom
2021-12-13,18:00,0003,Kanchanaburi
2021-12-14,09:00,0003,Chachoengsao
2021-12-14,07:00,0003,Samut Prakan
2021-12-15,04:00,0003,Chanthaburi
2021-12-15,12:00,0003,Ratchaburi
2021-12-14,11:00,0003,Prachin Buri
2021-12-15,03:00,0003,Chachoengsao
2021-12-14,20:00,0003,Chanthaburi
2021-12-13,17:00,0003,Ratchaburi
2021-12-17,21:00,0003,Bangkok
2021-12-17,22:00,0003,Samut Sakhon
2021-12-18,17:00,0003,Bangkok
2021-12-19,13:00,0003,Nakhon Pathom
2021-12-19,06:00,0003,Bangkok
2021-12-19,15:00,0003,Ratchaburi
2021-12-18,22:00,0003,Samut Sakhon
2021-12-23,07:00,0003,Ratchaburi
2021-12-22,21:00,0003,Suphan Buri
2021-12-22,16:00,0003,Ratchaburi
2021-12-24,13:00,0003,Bangkok
2021-12-24,16:00,0003,Nonthaburi
2021-12-24,17:00,0003,Ratchaburi
2021-12-25,13:00,0003,Phetchaburi
2021-12-25,08:00,0003,Ratchaburi
2021-12-26,19:00,0003,Ratchaburi
2021-12-26,04:00,0003,Ratchaburi
2021-12-26,10:00,0003,Kanchanaburi
2021-12-25,22:00,0003,Ratchaburi
2021-12-25,23:00,0003,Phetchaburi
2021-12-29,02:00,0003,Phetchaburi
2021-12-28,16:00,0003,Ratchaburi
2021-12-30,20:00,0003,Bangkok
2022-01-01,07:00,0003,Ratchaburi
2021-12-31,02:00,0003,Nakhon Pathom
2021-12-31,23:00,0003,Bangkok
2021-12-31,13:00,0003,Samut Sakhon
2021-12-31,05:00,0003,Ratchaburi
2022-01-01,23:00,0003,Chiang Rai
2022-01-01,13:00,0003,Chiang Mai
2022-01-02,16:00,0003,Phrae
2022-01-01,19:00,0003,Chiang Mai
2022-01-02,15:00,0003,Lampang
2022-01-01,14:00,0003,Lamphun
2022-01-02,07:00,0003,Phayao
2021-12-31,13:00,0003,Ratchaburi
2022-01-01,08:00,0003,Ratchaburi
2021-12-31,23:00,0003,Samut Sakhon
2021-10-14,19:00,0004,Chai Nat
2021-10-15,09:00,0004,Nakhon Sawan
2021-10-15,03:00,0004,Sing Buri
2021-10-15,15:00,0004,Chai Nat
2021-10-15,21:00,0004,Chai Nat
2021-10-15,16:00,0004,Suphan Buri
2021-12-16,23:00,0004,Nakhon Pathom
2021-12-17,06:00,0004,Chai Nat
2021-12-16,08:00,0004,Chai Nat
2021-12-16,13:00,0004,Suphan Buri
2021-12-25,20:00,0004,Chai Nat
2021-12-26,11:00,0004,Chai Nat
2021-12-26,06:00,0004,Sing Buri
2021-12-29,09:00,0004,Chai Nat
2021-12-28,16:00,0004,Chai Nat
2021-12-28,18:00,0004,Sing Buri
2021-12-30,21:00,0004,Chai Nat
2021-12-31,19:00,0004,Nakhon Sawan
2021-12-30,17:00,0004,Chai Nat
2021-12-31,11:00,0004,Phichit
2021-12-30,19:00,0004,Nakhon Sawan
2021-12-31,05:00,0004,Nakhon Sawan
2022-01-01,03:00,0004,Chai Nat
2022-01-03,08:00,0004,Chai Nat
2022-01-02,20:00,0004,Chai Nat
2022-01-02,22:00,0004,Sing Buri
2021-01-03,05:00,0005,Chiang Rai
2021-01-03,01:00,0005,Lampang
2021-01-03,11:00,0005,Phrae
2021-01-02,16:00,0005,Lampang
2021-01-02,23:00,0005,Phayao
2021-09-08,09:00,0006,Nakhon Pathom
2021-09-07,19:00,0006,Samut Prakan
2021-09-07,12:00,0006,Nakhon Pathom
2021-09-09,18:00,0006,Suphan Buri
2021-09-10,06:00,0006,Nakhon Pathom
2021-09-09,11:00,0006,Nakhon Pathom
2021-09-12,00:00,0006,Sing Buri
2021-09-11,18:00,0006,Suphan Buri
2021-09-11,17:00,0006,Nakhon Pathom
2021-12-06,14:00,0006,Nakhon Pathom
2021-12-07,07:00,0006,Nakhon Pathom
2021-12-06,23:00,0006,Kanchanaburi
2021-12-14,15:00,0006,Ratchaburi
2021-12-14,20:00,0006,Nakhon Pathom
2021-12-14,08:00,0006,Nakhon Pathom
2021-12-29,04:00,0006,Bangkok
2021-12-28,21:00,0006,Nakhon Pathom
2021-12-29,14:00,0006,Phra Nakhon Si Ayutthaya
2021-12-29,13:00,0006,Pathum Thani
2021-12-29,22:00,0006,Nakhon Pathom
2022-01-01,00:00,0006,Bangkok
2022-01-01,09:00,0006,Bangkok
2021-12-31,06:00,0006,Chachoengsao
2021-12-30,21:00,0006,Nakhon Pathom
2021-12-31,03:00,0006,Samut Prakan
2022-01-01,06:00,0006,Samut Prakan
2021-12-31,14:00,0006,Samut Prakan
2022-01-01,11:00,0006,Nakhon Pathom
2022-01-01,23:00,0006,Ratchaburi
2022-01-02,04:00,0006,Kanchanaburi
2022-01-02,10:00,0006,Nakhon Pathom
2022-01-01,18:00,0006,Nakhon Pathom
2022-01-03,21:00,0006,Bangkok
2022-01-04,02:00,0006,Nonthaburi
2022-01-04,05:00,0006,Nakhon Pathom
2022-01-03,11:00,0006,Nakhon Pathom
2022-01-01,17:00,0006,Samut Sakhon
